Group,Distance,Age_shield,Sample_Name,Sr,Nd,Hf
HAWAII - KILAUEA,0,0.15,BHVO-2,0.703478,6.808029183,10.50267871
HAWAII - KILAUEA,0,0.15,s_KL-01-KWWS-92 [1496] / s_KL-01 [2661],0.70359,6.261826268,11.66964302
HAWAII - KILAUEA,0,0.15,s_HW2 [7966],0.703582,6.57394222,11.22266032
HAWAII - KILAUEA,0,0.15,s_1960 [224],0.70358,7.646840801,12.16471878
HAWAII - KILAUEA,0,0.15,s_K208-7 [15983],0.703541,6.398376997,12.27080644
HAWAII - KILAUEA,0,0.15,s_K208-3 [15983],0.703578,6.183797281,11.24529236
HAWAII - KILAUEA,0,0.15,s_S709-5 [15983],0.703558,6.144782787,11.35138002
HAWAII - KILAUEA,0,0.15,s_S505-9B [15983],0.703826,4.798782748,10.14905317
HAWAII - KILAUEA,0,0.15,s_K207-16 [15983],0.703608,5.93020307,11.98790601
HAWAII - KILAUEA,0,0.15,s_K207-19 [15983],0.703513,6.710492948,11.31601747
HAWAII - KILAUEA,0,0.15,s_K207-17 [15983],0.703604,5.891188577,11.84645579
HAWAII - KILAUEA,0,0.15,s_S509-6C [15983],0.703573,5.325478415,11.98790601
HAWAII - KILAUEA,0,0.15,s_S504-3B [15983],0.703652,6.027739305,11.70500557
HAWAII - KILAUEA,0,0.15,s_S504-2B [15983],0.703685,6.047246552,11.74036812
HAWAII - KILAUEA,0,0.15,s_S505-10B [15983],0.703622,6.651971207,11.77573068
HAWAII - KILAUEA,0,0.15,s_S504-2A [15983],0.703669,4.915826229,12.05863112
HAWAII - KILAUEA,0,0.15,s_S509-4B [15983],0.703531,5.832666836,11.31601747
HAWAII - KILAUEA,0,0.15,s_S506-1 [15983],0.703658,5.852174083,12.6951571
HAWAII - KILAUEA,0,0.15,s_S709-4 [15983],0.703572,5.832666836,11.17456725
HAWAII - KILAUEA,0,0.15,s_S709-9 [15983],0.703569,6.456898738,11.24529236
HAWAII - KILAUEA,0,0.15,s_K209-8A [15983],0.70365,5.696116107,12.05863112
HAWAII - KILAUEA,0,0.15,s_S506-7B [15983],0.703439,8.388116185,12.37689411
HAWAII - KILAUEA,0,0.15,s_S506-6A [15983],0.703583,6.964087158,12.55370688
HAWAII - KILAUEA,0,0.15,s_S506-8C [15983],0.703498,6.82753643,11.66964302
HAWAII - KILAUEA,0,0.15,s_S506-8A [15983],0.70353,6.63246396,12.09399367
HAWAII - KILAUEA,0,0.15,s_K209-1B [15983],0.703588,6.63246396,11.59891791
HAWAII - KILAUEA,0,0.15,s_K208-9 [15983],0.703595,6.593449466,12.16471878
HAWAII - KILAUEA,0,0.15,s_HW11-2 [7966],0.703574,6.651971207,10.62963028
HAWAII - KILAUEA,0,0.15,s_HW1 [7966],0.703595,6.554434973,11.22690383
HAWAII - KILAUEA,0,0.15,s_HW9 [7966],0.703556,6.495913232,11.35633078
HAWAII - KILAUEA,0,0.15,s_HW29 [7966],0.703508,6.242319022,11.19472391
HAWAII - KILAUEA,0,0.15,s_HW24 [7966],0.703509,6.612956713,10.95355128
HAWAII - KILAUEA,0,0.15,s_HW7-3 [7966],0.703534,6.047246552,10.85913326
HAWAII - KILAUEA,0,0.15,s_HW6 [7966],0.703459,6.82753643,11.19826016
HAWAII - KILAUEA,0,0.15,s_HW27 [7966],0.703591,6.515420479,10.83508673
HAWAII - KILAUEA,0,0.15,s_HW22 [7966],0.703464,6.866550924,11.03523879
HAWAII - KILAUEA,0,0.15,s_HW21 [7966],0.70346,6.769014689,10.99987623
HAWAII - KILAUEA,0,0.15,s_1963 [5216],0.70358,7.354232097,12.51834433
HAWAII - KILAUEA,0,0.15,s_K98-3 [15983],0.703701,5.071884205,11.88181834
HAWAII - MAUNA LOA,30,0.24,s_R153-3.05 [2] / s_R153 [1],0.703618,6.339855256,11.03311703
HAWAII - MAUNA LOA,30,0.24,s_R121-2.45 [2] / s_R-121 [17258] / s_R-114 [17258],0.703734,6.027739305,10.60876638
HAWAII - MAUNA LOA,30,0.24,s_R068-1.25 [2] / s_R-68 [17258],0.703805,5.637594366,10.4319536
HAWAII - MAUNA LOA,30,0.24,s_R110-3.10 [2] / s_R-110 [17258],0.703709,6.008232058,10.57340382
HAWAII - MAUNA LOA,30,0.24,s_R091-2.30 [2] / s_R-91 [17258],0.703679,6.164290034,10.85630426
HAWAII - MAUNA LOA,30,0.24,s_R126-0.90 [2] / s_R-126 [17258],0.703698,6.066753799,10.85630426
HAWAII - MAUNA LOA,30,0.24,s_HW35 [7966],0.70389,4.038000117,9.034425447
HAWAII - MAUNA LOA,30,0.24,s_HW33 [7966],0.703915,4.077014611,8.927630532
HAWAII - MAUNA LOA,30,0.24,s_HW32 [7966],0.703786,5.325478415,10.26327422
HAWAII - MAUNA LOA,30,0.24,s_HW31 [7966],0.70376,5.540058132,10.20881588
HAWAII - MAUNA LOA,30,0.24,s_HW34 [7966],0.703809,4.954840723,10.13243277
HAWAII - MAUNA LOA,30,0.24,s_HW30 [7966],0.703755,5.384000156,10.84428099
HAWAII - MAUNA LOA,30,0.24,s_L00 002 [17258],0.703876,5.208434934,9.371076967
HAWAII - MAUNA LOA,30,0.24,s_L91 55 [17258],0.703764,6.320348009,10.46731616
HAWAII - MAUNA LOA,30,0.24,s_L00 003 [17258],0.703753,6.261826268,10.96239192
HAWAII - MAUNA LOA,30,0.24,s_L93 753 [17258],0.70393,4.97434797,9.512527185
HAWAII - MAUNA LOA,30,0.24,s_L87 235 [17258],0.703732,5.988724811,10.4319536
HAWAII - MAUNA LOA,30,0.24,s_L91 564 [17258],0.703932,5.540058132,10.21977828
HAWAII - MAUNA LOA,30,0.24,s_L93 733 [17258],0.703907,4.701246513,9.229626748
HAWAII - MAUNA LOA,30,0.24,s_L00 503 [17258],0.703746,6.222811775,10.53804127
HAWAII - MAUNA LOA,30,0.24,s_J2-020-23 [17258],0.703681,6.047246552,10.85630426
HAWAII - MAUNA LOA,30,0.24,s_L00 506 [17258],0.703714,6.261826268,10.96239192
HAWAII - MAUNA LOA,30,0.24,s_L00 525 [17258],0.7037,5.93020307,10.25514083
HAWAII - MAUNA LOA,30,0.24,s_L00 014 [17258],0.703757,6.281333515,10.71485404
HAWAII - MAUNA LOA,30,0.24,s_184-13 [20340],0.703686,6.261826268,10.8209417
HAWAII - MAUNA LOA,30,0.24,s_J2-20-14 [20340] / s_J2-020-14 [17258],0.703681,6.495913232,11.28065491
HAWAII - MAUNA LOA,30,0.24,s_J2-20-20 [20340] / s_J2-020-20 [17258],0.703691,5.969217564,10.64412893
HAWAII - MAUNA LOA,30,0.24,s_J2-19-10 [20340] / s_J2-019-10 [17258],0.703677,5.969217564,10.18441572
HAWAII - MAUNA LOA,30,0.24,s_M26-14-2 [17258],0.703765,5.735130601,10.32586594
HAWAII - MAUNA LOA,30,0.24,s_M27-11-3 [17258],0.703772,6.047246552,10.67949149
HAWAII - MAUNA LOA,30,0.24,s_M19-2-1 [17258],0.70384,4.486666797,10.0429655
HAWAII - MAUNA LOA,30,0.24,s_M30-1-2 [17258],0.703739,5.715623354,10.29050339
HAWAII - MAUNA LOA,30,0.24,s_M17-2-2 [17258],0.703661,6.12527554,10.71485404
HAWAII - MAUNA LOA,30,0.24,s_M19-17-1 [17258],0.703812,4.876811736,9.972240395
HAWAII - MAUNA LOA,30,0.24,s_M8-1-2 [17258],0.703688,6.300840762,10.7502166
HAWAII - MAUNA LOA,30,0.24,s_M4-14-1 [17258],0.703668,6.027739305,10.92702937
HAWAII - MAUNA LOA,30,0.24,s_M22-4-3 [17258],0.703669,6.027739305,10.57340382
HAWAII - MAUNA LOA,30,0.24,s_M14-32-4 [17258],0.703691,6.164290034,10.53804127
HAWAII - MAUNA LOA,30,0.24,s_J2-020-01 [17258],0.703818,4.915826229,7.744399455
HAWAII - MAUNA LOA,30,0.24,s_M18-17-1 [17258],0.703679,6.476405985,11.03311703
HAWAII - MAUNA LOA,30,0.24,s_J2-016-01 [17258],0.703768,6.105768293,10.46731616
HAWAII - MAUNA LOA,30,0.24,s_184-10 [17258],0.70368,5.910695823,10.60876638
HAWAII - MAUNA LOA,30,0.24,s_J2-019-22 [17258],0.70368,6.105768293,10.32586594
HAWAII - MAUNA LOA,30,0.24,s_J2-019-19 [17258],0.703748,5.403507403,9.760065067
HAWAII - MAUNA LOA,30,0.24,s_J2-020-03 [17258],0.703682,6.164290034,10.85630426
HAWAII - MAUNA LOA,30,0.24,s_J2-020-09 [17258],0.703668,6.183797281,10.8209417
HAWAII - MAUNA LOA,30,0.24,s_J2-020-03 [17258],0.703674,6.105768293,10.3612285
HAWAII - MAUNA LOA,30,0.24,s_M13-2-4 [17258],0.703667,6.730000195,11.74036812
HAWAII - MAUNA LOA,30,0.24,s_J2-019-04 [17258],0.703746,5.540058132,9.441802076
HAWAII - MAUNA LOA,30,0.24,s_M14-20-4 [17258],0.703738,5.657101613,10.14905317
HAWAII - MAUNA LOA,30,0.24,s_J2-019-08 [17258],0.703697,5.520550885,9.441802076
HAWAII - MAUNA LOA,30,0.24,s_J2-019-01 [17258],0.703703,5.910695823,10.32586594
HAWAII - MAUNA LOA,30,0.24,s_M12-3-4 [17258],0.703607,6.12527554,10.57340382
HAWAII - MAUNA LOA,30,0.24,s_M13-12-4 [17258],0.703659,5.579072625,10.50267871
HAWAII - MAUNA LOA,30,0.24,s_M13-21-4 [17258],0.703667,6.534927726,10.67949149
HAWAII - MAUNA LOA,30,0.24,s_184-12 [20340],0.703694,6.281333515,10.57340382
HAWAII - MAUNA LOA,30,0.24,s_184-7 [20340],0.70382,5.149913193,9.93687784
HAWAII - MAUNA LOA,30,0.24,s_185-5 [20340],0.703772,5.559565379,10.14905317
HAWAII - MAUNA LOA,30,0.24,s_184-8 [6121],0.703668,6.12527554,10.71485404
HAWAII - MAUNA LOA,30,0.24,s_185-10 [6121],0.703683,6.086261046,10.64412893
HAWAII - MAUNA LOA,30,0.24,s_184-11 [6121],0.703654,6.398376997,11.24529236
HAWAII - MAUNA LOA,30,0.24,s_184-2 [6121],0.703725,6.105768293,10.64412893
HAWAII - MAUNA LOA,30,0.24,s_184-9 [6121],0.703677,6.359362503,11.17456725
HAWAII - MAUNA KEA,54,0.34,s_HSDP-R158-0.05A [7] / s_R158-0.05A [1300],0.7035,6.37886975,12.48298177
HAWAII - MAUNA KEA,54,0.34,s_HSDP-R166-5.25A [7] / s_R166-5.25A [1300],0.703517,6.12527554,12.16471878
HAWAII - MAUNA KEA,54,0.34,s_HSDP-R189-8.50A [414] / s_R189-8.50A [1300] / s_HSDPR189-8.50A [8],0.703516,6.261826268,12.16471878
HAWAII - MAUNA KEA,54,0.34,s_HSDP-R197-0.80A [7] / s_R197-0.80A [1300] / s_HSDPR197-.80A [8],0.703509,6.417884244,12.09399367
HAWAII - MAUNA KEA,54,0.34,s_HSDP-R212-0.40A [414] / s_R212-0.40A [1300] / s_HSDPR212-.40A [8],0.703563,6.359362503,11.84645579
HAWAII - MAUNA KEA,54,0.34,s_HSDP-R215-7.20A [7] / s_R215-7.20A [1300] / s_HSDPR215-7.2A [8],0.703581,6.63246396,12.58906943
HAWAII - MAUNA KEA,54,0.34,s_HSDP-R229-0.05A [7] / s_R229-0.05A [1300] / s_HSDPR229-.05A [8],0.703537,6.37886975,11.66964302
HAWAII - MAUNA KEA,54,0.34,s_HSDP-R243-8.40A [414] / s_R243-8.40A [1300] / s_HSDPR243-8.40A [8],0.703589,6.12527554,11.84645579
HAWAII - MAUNA KEA,54,0.34,s_HSDP-R303-3.00A [414] / s_R303-3.00A [1300] / s_HSDPR303-3.0A [8],0.703561,6.203304528,11.45746769
HAWAII - MAUNA KEA,54,0.34,s_HSDP-R319-1.30A [7] / s_R319-1.30A [1300] / s_HSDPR319-1.3A [8],0.703547,6.593449466,11.49283024
HAWAII - MAUNA KEA,54,0.34,s_HSDP-R333-2.10A [7] / s_R333-2.10A [1300],0.703525,6.066753799,11.49283024
HAWAII - MAUNA KEA,54,0.34,s_HSDP-R347-6.35A [414] / s_R347-6.35A [1300] / s_HSDPR347-6.35A [8],0.703562,6.086261046,11.49283024
HAWAII - MAUNA KEA,54,0.34,s_HSDP-R365-0.05A [414] / s_R365-0.05A [1300] / s_HSDPR365-.05A [8],0.703522,6.105768293,12.12935622
HAWAII - MAUNA KEA,54,0.34,s_HSDP-R382-4.35A [7] / s_R382-4.35A [1300] / s_HSDPR382-4.35A [8],0.703533,5.988724811,11.56355535
HAWAII - MAUNA KEA,54,0.34,s_HSDP-R401-4.90A [7] / s_R401-4.90A [1300],0.703634,5.657101613,11.84645579
HAWAII - MAUNA KEA,54,0.34,s_HSDP-R413-1.40A [414] / s_R413-1.40A [1300] / s_HSDPR413-1.4A [8],0.703499,6.008232058,11.5281928
HAWAII - MAUNA KEA,54,0.34,s_HSDP-R419-5.30A [7] / s_R419-5.30A [1300],0.703658,5.793652342,11.17456725
HAWAII - MAUNA KEA,54,0.34,s_HSDP-R431-3.70A [7] / s_R431-3.70A [1300] / s_HSDPR431-3.7A [8],0.703598,5.832666836,11.35138002
HAWAII - MAUNA KEA,54,0.34,s_HSDP-R442-2.10A [7] / s_R442-2.10A [1300] / s_HSDPR442-2.1A [8],0.703625,6.066753799,11.70500557
HAWAII - MAUNA KEA,54,0.34,s_HSDP-R446-2.40A [414] / s_R446-2.40A [1300] / s_HSDPR446-2.4A [8],0.703544,5.910695823,11.5281928
HAWAII - MAUNA KEA,54,0.34,s_HSDP-R452-3.90A [7] / s_R452-3.90A [1300],0.703579,6.008232058,11.63428046
HAWAII - MAUNA KEA,54,0.34,s_HSDP-R463-6.00A [7] / s_R463-6.00A [1300],0.703623,5.735130601,11.10384214
HAWAII - MAUNA KEA,54,0.34,s_HSDP-R466-5.00A [414] / s_R466-5.00A [1300],0.703596,5.579072625,11.63428046
HAWAII - MAUNA KEA,54,0.34,s_SR0157-6.25 [7011],0.703562,6.047246552,11.66964302
HAWAII - MAUNA KEA,54,0.34,s_SR0167-5.90 [7011],0.703624,6.105768293,11.98790601
HAWAII - MAUNA KEA,54,0.34,s_SR0175-5.25 [7011],0.703606,5.481536391,11.84645579
HAWAII - MAUNA KEA,54,0.34,s_SR0184-2.80 [7011],0.703591,6.086261046,12.97805753
HAWAII - MAUNA KEA,54,0.34,s_SR0193-0.00 [7011],0.703547,5.988724811,12.65979454
HAWAII - MAUNA KEA,54,0.34,s_SR0205-1.30 [7011],0.703607,5.481536391,12.62443199
HAWAII - MAUNA KEA,54,0.34,s_SR0212-8.20 [7011],0.703612,5.715623354,12.97805753
HAWAII - MAUNA KEA,54,0.34,s_SR0222-2.00 [7011],0.703583,5.403507403,12.05863112
HAWAII - MAUNA KEA,54,0.34,s_SR0232-8.50 [7011],0.703597,5.754637848,11.56355535
HAWAII - MAUNA KEA,54,0.34,s_SR0240-3.30 [7011],0.703583,5.559565379,12.83660732
HAWAII - MAUNA KEA,54,0.34,s_SR0256-0.95 [7011],0.703597,6.086261046,11.95254345
HAWAII - MAUNA KEA,54,0.34,s_SR0267-6.85 [7011],0.703565,5.696116107,12.34153155
HAWAII - MAUNA KEA,54,0.34,s_SR0276-7.85 [7011],0.703595,5.520550885,12.20008133
HAWAII - MAUNA KEA,54,0.34,s_SR0284-1.75 [7011],0.703599,5.67660886,12.09399367
HAWAII - MAUNA KEA,54,0.34,s_SR0294-7.65 [7011],0.703643,5.559565379,12.16471878
HAWAII - MAUNA KEA,54,0.34,s_SR0300-6.50 [7011],0.703583,5.208434934,12.44761922
HAWAII - MAUNA KEA,54,0.34,s_SR0311-4.40 [7011],0.703602,5.774145095,12.23544389
HAWAII - MAUNA KEA,54,0.34,s_SR0328-3.10 [7011],0.703559,5.501043638,11.70500557
HAWAII - MAUNA KEA,54,0.34,s_SR0340-1.00 [7011],0.703601,5.813159589,12.09399367
HAWAII - MAUNA KEA,54,0.34,s_SR0346-5.60 [7011],0.703595,5.188927687,11.88181834
HAWAII - MAUNA KEA,54,0.34,s_SR0354-7.75 [7011],0.703607,5.403507403,11.77573068
HAWAII - MAUNA KEA,54,0.34,s_SR0372-2.80 [7011],0.703582,5.657101613,11.66964302
HAWAII - MAUNA KEA,54,0.34,s_SR0379-3.00 [7011],0.703579,5.442521897,11.45746769
HAWAII - MAUNA KEA,54,0.34,s_SR0392-4.30 [7011],0.703584,5.735130601,11.84645579
HAWAII - MAUNA KEA,54,0.34,s_SR0401-2.85 [7011],0.703598,5.793652342,11.66964302
HAWAII - MAUNA KEA,54,0.34,s_SR0413-3.10 [7011],0.703613,5.891188577,12.44761922
HAWAII - MAUNA KEA,54,0.34,s_SR0423-3.65 [7011],0.703552,5.657101613,12.16471878
HAWAII - MAUNA KEA,54,0.34,s_SR0431-8.50 [7011],0.703608,5.032869711,11.5281928
HAWAII - MAUNA KEA,54,0.34,s_SR0441-9.10 [7011],0.703631,5.540058132,11.88181834
HAWAII - MAUNA KEA,54,0.34,s_SR0450-3.55 [7011],0.703571,5.735130601,11.74036812
HAWAII - MAUNA KEA,54,0.34,s_SR0455-7.40 [7011],0.703622,5.403507403,12.44761922
HAWAII - MAUNA KEA,54,0.34,s_SR0472-1.00 [7011],0.703575,5.462029144,11.95254345
HAWAII - MAUNA KEA,54,0.34,s_SR0490-1.50 [7011],0.703618,5.754637848,12.23544389
HAWAII - MAUNA KEA,54,0.34,s_SR0502-4.85 [7011],0.703641,5.540058132,11.95254345
HAWAII - MAUNA KEA,54,0.34,s_SR0518-0.80 [7011],0.703603,5.481536391,11.84645579
HAWAII - MAUNA KEA,54,0.34,s_SR0545-8.35 [7011],0.703503,6.63246396,11.95254345
HAWAII - MAUNA KEA,54,0.34,s_SR0548-8.00 [7011],0.7036,5.364492909,11.77573068
HAWAII - MAUNA KEA,54,0.34,s_SR0560-7.50 [7011],0.703591,5.735130601,12.55370688
HAWAII - MAUNA KEA,54,0.34,s_SR0574-1.90 [7011],0.703565,5.735130601,12.09399367
HAWAII - MAUNA KEA,54,0.34,s_SR0582-10.00 [7011],0.70354,5.637594366,12.55370688
HAWAII - MAUNA KEA,54,0.34,s_SR0594-8.70 [7011],0.703567,5.637594366,12.27080644
HAWAII - MAUNA KEA,54,0.34,s_SR0603-8.90 [7011],0.70351,5.87168133,12.97805753
HAWAII - MAUNA KEA,54,0.34,s_SR0604-2.50 [7011],0.703533,5.910695823,12.55370688
HAWAII - MAUNA KEA,54,0.34,s_SR0622-7.10 [7011],0.703574,5.637594366,12.16471878
HAWAII - MAUNA KEA,54,0.34,s_SR0630-6.20 [7011],0.703598,5.130405946,11.81109323
HAWAII - MAUNA KEA,54,0.34,s_SR0641-1.00 [7011],0.703592,5.559565379,11.63428046
HAWAII - MAUNA KEA,54,0.34,s_SR0655-4.00 [7011],0.703558,7.276203109,11.95254345
HAWAII - MAUNA KEA,54,0.34,s_SR0664-5.10 [7011],0.703591,5.462029144,11.42210513
HAWAII - MAUNA KEA,54,0.34,s_SR0675-6.90 [7011],0.703639,5.579072625,11.66964302
HAWAII - MAUNA KEA,54,0.34,s_SR0683-5.75 [7011],0.703619,5.403507403,11.84645579
HAWAII - MAUNA KEA,54,0.34,s_SR0694-9.00 [7011],0.70345,5.793652342,12.34153155
HAWAII - MAUNA KEA,54,0.34,s_SR0705-0.15 [7011],0.703679,5.091391452,10.78557915
HAWAII - MAUNA KEA,54,0.34,s_SR0714-11.55 [7011],0.703524,5.618087119,11.5281928
HAWAII - MAUNA KEA,54,0.34,s_SR0720-18.25 [7011],0.703608,5.364492909,11.38674258
HAWAII - MAUNA KEA,54,0.34,s_SR0723-13.70 [7011],0.70359,5.403507403,12.16471878
HAWAII - MAUNA KEA,54,0.34,s_SR0732-1.10 [7011],0.703628,5.130405946,11.24529236
HAWAII - MAUNA KEA,54,0.34,s_SR0741-7.90 [7011],0.70365,5.052376958,11.38674258
HAWAII - MAUNA KEA,54,0.34,s_SR0750-12.45 [7011],0.703653,4.818289995,10.96239192
HAWAII - MAUNA KEA,54,0.34,s_SR0756-13.25 [7011],0.703629,4.954840723,10.92702937
HAWAII - MAUNA KEA,54,0.34,s_SR0762-4.60 [7011],0.703652,5.091391452,11.31601747
HAWAII - MAUNA KEA,54,0.34,s_SR0768-11.20 [7011],0.703579,5.793652342,11.42210513
HAWAII - MAUNA KEA,54,0.34,s_SR0776-17.70 [7011],0.703577,5.501043638,11.81109323
HAWAII - MAUNA KEA,54,0.34,s_SR0778-3.20 [7011],0.703598,5.754637848,11.74036812
HAWAII - MAUNA KEA,54,0.34,s_SR0791-9.50 [7011],0.703601,5.286463921,11.70500557
HAWAII - MAUNA KEA,54,0.34,s_SR0796-6.70 [6456],0.703606,5.16942044,11.70500557
HAWAII - MAUNA KEA,54,0.34,s_SR0800-13.20 [7011],0.70362,5.071884205,11.59891791
HAWAII - MAUNA KEA,54,0.34,s_SR0814-14.40 [7011],0.703641,5.598579872,11.5281928
HAWAII - MAUNA KEA,54,0.34,s_SR0826-20.60 [7011],0.703588,5.110898699,10.99775448
HAWAII - MAUNA KEA,54,0.34,s_SR0836-5.80 [7011],0.703637,4.935333476,11.59891791
HAWAII - MAUNA KEA,54,0.34,s_SR0842-2.35 [7011],0.703617,5.032869711,11.35138002
HAWAII - MAUNA KEA,54,0.34,s_SR0846-2.80 [7011] / s_SR0846-2.8 [6966],0.703547,5.754637848,12.306169
HAWAII - MAUNA KEA,54,0.34,s_SR0850-5.95 [7011],0.703578,5.793652342,11.77573068
HAWAII - MAUNA KEA,54,0.34,s_SR0855-0.10 [7011],0.703509,5.344985662,12.12935622
HAWAII - MAUNA KEA,54,0.34,s_SR0860-8.10 [7011],0.703554,5.42301465,11.77573068
HAWAII - MAUNA KEA,54,0.34,s_SR0871-13.00 [7011],0.703661,4.818289995,11.70500557
HAWAII - MAUNA KEA,54,0.34,s_SR0891-15.10 [7011],0.703571,5.247449427,11.74036812
HAWAII - MAUNA KEA,54,0.34,s_SR0896-2.40 [7011],0.703613,5.305971168,11.42210513
HAWAII - MAUNA KEA,54,0.34,s_SR0899-2.45 [7011],0.70365,5.208434934,11.35138002
HAWAII - MAUNA KEA,54,0.34,s_SR0907-1.65 [7011],0.703557,5.42301465,11.24529236
HAWAII - MAUNA KEA,54,0.34,s_SR0913-2.40 [7011],0.703541,7.120145134,11.77573068
HAWAII - MAUNA KEA,54,0.34,s_SR0916-1.15 [7011],0.70354,5.735130601,12.05863112
HAWAII - MAUNA KEA,54,0.34,s_SR0930-15.85 [7011],0.70358,5.442521897,11.45746769
HAWAII - MAUNA KEA,54,0.34,s_SR0939-18.10 [7011],0.703516,5.754637848,11.98790601
HAWAII - MAUNA KEA,54,0.34,s_SR0940-18.35 [7011],0.703611,4.896318983,11.20992981
HAWAII - MAUNA KEA,54,0.34,s_SR0954-8.00 [7011],0.703728,7.393246591,11.84645579
HAWAII - MAUNA KEA,54,0.34,s_SR0956-18.35 [7011],0.703535,5.442521897,11.9171809
HAWAII - MAUNA KEA,54,0.34,s_SR0964-4.30 [7011],0.703551,5.696116107,11.88181834
HAWAII - MAUNA KEA,54,0.34,s_SR0967-2.75 [7011],0.70359,5.657101613,11.28065491
HAWAII - MAUNA KEA high CaO,54,0.34,R684-9.0-9.2,0.703041,9.500029261,16.79721343
HAWAII - MAUNA KEA high CaO,54,0.34,R685-5.5-6.1,0.703155,8.407623432,15.63024913
HAWAII - MAUNA KEA high CaO,54,0.34,R686-3.9-4.1,0.703143,8.700232136,15.48879891
HAWAII - MAUNA KEA high CaO,54,0.34,R686-4.5-4.7,0.703151,8.583188655,15.52416147
HAWAII - MAUNA KEA high CaO,54,0.34,R686-4.9-5.1,0.703157,8.544174161,15.20589847
HAWAII - MAUNA KEA high CaO,54,0.34,R686-7.7-7.9,0.703158,8.700232136,15.52416147
HAWAII - MAUNA KEA high CaO,54,0.34,R686-9.5-9.7,0.703147,8.758753877,15.55952402
HAWAII - MAUNA KEA high CaO,54,0.34,R687-8.5-8.8,0.70315,8.349101691,15.8070619
HAWAII - MAUNA KEA high CaO,54,0.34,R688-0.0-0.4,0.703149,8.505159667,15.48879891
HAWAII - MAUNA KEA high CaO,54,0.34,R689-1.2-1.4,0.70316,8.622203148,15.06444826
HAWAII - MAUNA KEA high CaO,54,0.34,R689-4.6-4.8,0.703144,8.563681408,15.20589847
HAWAII - MAUNA KEA high CaO,54,0.34,R696-1.0-1.6,0.703175,7.412753838,14.71082271
HAWAII - MAUNA KEA high CaO,54,0.34,R696-2.1-2.3,0.703168,8.154029222,14.81691037
HAWAII - MAUNA KEA high CaO,54,0.34,R696-6.5-6.7,0.70316,8.446637926,15.06444826
HAWAII - MAUNA KEA high CaO,54,0.34,R696-9.4-9.6,0.703177,8.563681408,14.85227293
HAWAII - MAUNA KEA high CaO,54,0.34,R698-1.4-1.6,0.703198,8.154029222,14.78154782
HAWAII - MAUNA KEA high CaO,54,0.34,R698-2.6-2.7,0.703178,8.095507481,14.92299804
HAWAII - MAUNA KEA high CaO,54,0.34,R698-8.3-8.5,0.703198,8.193043716,14.88763548
HAWAII - MAUNA KEA high CaO,54,0.34,R698-9.1-9.3,0.703214,8.310087197,14.71082271
HAWAII - MAUNA KEA high CaO,54,0.34,R699-3.7-4.0,0.70324,7.724869789,14.42792227
HAWAII - MAUNA KEA high CaO,54,0.34,R699-5.4-5.6,0.703248,7.841913271,14.46328483
